date,source,category,title,url,summary,score,level,priority,relevant,theme,keywords,reasons,geography_score,target_score,repression_score,rights_score,journalism_score,geopolitical_score,categorisation_geo,categorisation_geo_role,categorisation_acteur,categorisation_traitement,categorisation_relation_acteur_traitement,categorisation_type,categorisation_age_jours,categorisation_source_specialisee,categorisation_pertinent,categorisation_reason
2026-09-07T13:34:22+00:00,Amnesty International,Droits humains & presse,Azerbaijan: Lengthy sentences for Anar Mammadli and other independent voices point to the shocking scale of the crackdown on dissent,https://www.amnesty.org/en/latest/news/2026/09/azerbaijan-lengthy-sentences-for-anar-mammadli-and-other-independent-voices-point-to-the-shocking-scale-of-the-crackdown-on-dissent/,,100,A,ABSOLUE,True,Journalistes sous pression,azerbaijan; central asia; baku; journalists; independent media; human rights; freedom of expression; crackdown on; crackdown; persecution; prisoner of conscience; trial; court; prosecution; charges; conviction; sentenced; sentence; imprisoned; detention; arrest; imprisonment; prison sentence; sentences,Caucase: azerbaijan; géographie confirmée dans le corps; journaliste / média ciblé; journaliste + action répressive; signal HR confirmé par le corps; répression grave confirmée; CAS HR CRITIQUE,15,18,30,2,7,0,"azerbaidjan, autre",sujet_principal,"defenseur, journaliste, avocat","detention, condamnation, pression_administrative",True,evenement_date,6,True,True,pertinent
2026-04-13T07:00:00+00:00,Human Rights Watch,Droits humains & presse,Kazakhstan Jails Activists for Peaceful Xinjiang Protest,https://news.google.com/rss/articles/CBMilwFBVV95cUxQRnZ6VmNJZUxFVjEtQkFHQUpUQ2xLWVRGM09aaDJkb2F1RUNfdnROQmRJd0dDdU8ybmZlaU9xLVdyRndlVkU0d0tXeFlBVkZXeG4yQ1ZSMXZfVHlGSF9NZGZ0MVhsSm1NeTIyMV9ja0xWa0xlb2RwQXIyZUFwUlExUnFfYlhMVUlMdFRrUXBHQ1RwaHFaTnJr?oc=5,,92,A,ABSOLUE,True,Activistes / dissidents sous pression,kazakhstan; xinjiang; activists; protest,Asie centrale: kazakhstan; activiste / défenseur des droits ciblé; activiste/HRD + action répressive; CAS HR CRITIQUE,12,20,10,0,7,0,"kazakhstan, xinjiang",sujet_principal,"defenseur, opposant, minorite_ethnique",aucun,False,navigation,153,True,True,pertinent
2025-10-19T15:04:19+00:00,Turkmen.News,Droits humains & presse,Активист Саддам Гуламов осужден на 8 лет. Его держат в пыточных условиях в ШИЗО,https://turkmen.news/2025/10/19/aktivist-saddam-gulamov-osuzhden-na-8-let-ego-derzhat-v-pytochnyh-usloviyah-v-shizo/,,100,A,ABSOLUE,True,Activistes / dissidents sous pression,активист; осужден,source spécialisée Asie centrale; activiste / défenseur des droits ciblé; activiste/HRD + action répressive; répression grave confirmée; peine de prison liée à un activiste; CAS HR CRITIQUE,10,20,10,0,7,0,,absent,opposant,condamnation,False,evenement_date,329,True,True,pertinent
2025-06-04T12:34:19+00:00,Al Jazeera — Kyrgyzstan,Médias indépendants,Kyrgyzstan court sentences ex-leader Atambayev to 11 years in absentia,https://www.aljazeera.com/news/2025/6/4/kyrgyzstan-court-sentences-ex-leader-atambayev-to-11-years-in-absentia,,84,A,TRÈS HAUTE,True,Répression / droits humains,kyrgyzstan; central asia; central asian; kazakhstan; kyrgyz; azerbaijan; media outlets; crackdown; crackdown on; court; charges; conviction; sentenced; arrest; arrested; sentences,Asie centrale: kyrgyzstan; géographie confirmée dans le corps; signal HR confirmé par le corps; CAS HR CRITIQUE,15,7,23,0,6,0,"kirghizistan, autre, kazakhstan, azerbaidjan",sujet_principal,"defenseur, journaliste","detention, condamnation, pression_administrative",True,evenement_date,466,False,True,pertinent
2024-03-13T07:00:00+00:00,Human Rights Watch — russe,Droits humains & presse,Казахстан: Каракалпакский активист арестован с подачи Узбекистана,https://news.google.com/rss/articles/CBMimwFBVV95cUxNbXVWT2IyY1h6djIyU21wUTVMWnpoLTVncGwweW1TQmlWbDRmOFZtRHM2d1dud3BhRUFkR0NSX3JoN3BsODFJNHBHRGJxZ0Zia2djN0ZkOGFmNG92NkFrMmVGUXpZUjJYVmNtN2tqajdUblhfdzdfM2toVWZSY3hYU05LX1dIYzNvYUZhYmZHcHhXNGFxSEoyT29ZOA?oc=5,,92,A,ABSOLUE,True,Activistes / dissidents sous pression,казахстан; казах; узбекистан; узбек; активист; арестован,"Asie centrale: казахстан, казах, узбекистан, узбек; activiste / défenseur des droits ciblé; activiste/HRD + action répressive; CAS HR CRITIQUE",12,20,10,0,7,0,"kazakhstan, ouzbekistan",sujet_principal,opposant,detention,False,navigation,914,True,True,pertinent
2024-02-05T11:46:45+00:00,Al Jazeera — Uzbekistan,Médias indépendants,Did an arrested Uzbek ‘mafia chieftain’ organise killings of dissidents?,https://www.aljazeera.com/news/2024/2/5/did-an-arrested-uzbek-mafia-chieftain-organise-killings-of-dissidents,,100,A,ABSOLUE,True,Activistes / dissidents sous pression,uzbek; central asia; central asian; kazakhstan; uzbekistan; tashkent; dissidents; human rights; tortured; disappeared; crackdown on; persecution; arrested; trial; court; prosecutor; conviction; convicted; sentenced; detained; jailed; jails,Asie centrale: uzbek; géographie confirmée dans le corps; activiste / défenseur des droits ciblé; activiste/HRD + action répressive; signal HR confirmé par le corps; répression grave confirmée; CAS HR CRITIQUE,15,20,30,6,7,0,"ouzbekistan, autre, kazakhstan, afghanistan, russie",sujet_principal,"defenseur, opposant, croyant","detention, condamnation, torture_mauvais_traitement, disparition, pression_administrative, expulsion_extradition",True,evenement_date,951,False,True,pertinent
2021-11-12T11:51:05+00:00,Al Jazeera — Turkmenistan,Médias indépendants,Turkmenistan’s dissidents fear crackdown in Turkish exile,https://www.aljazeera.com/news/2021/11/12/turkmenistans-dissidents-fear-crackdown-in-turkish-exile,,100,A,ABSOLUE,True,Répression / droits humains,turkmenistan; central asian; turkmen; ashgabat; dissidents; activists; dissident; human rights; rule of law; disappeared; crackdown; threats; arbitrary detention; prosecutors; detention,Asie centrale: turkmenistan; géographie confirmée dans le corps; signal HR confirmé par le corps; répression grave confirmée; CAS HR CRITIQUE,15,10,30,4,6,0,"turkmenistan, autre",sujet_principal,"defenseur, opposant, migrant, citoyen_ordinaire","detention, disparition, pression_administrative, expulsion_extradition",True,evenement_date,1766,False,True,pertinent
2017-01-17T08:00:00+00:00,Human Rights Watch,Droits humains & presse,Another Youth Activist Convicted on False Drug Charges in Azerbaijan,https://news.google.com/rss/articles/CBMinwFBVV95cUxOSllNdFJkemtXV3g0Y1RUVkk4aTVZR09ackM4WmsyUjhNY01WRGlTbW4zdXFubWdpTXRCaEgxS3hsRUNxeF9zTlAwVXdkd3pkeHJuMjNMZFhWbUt4NHhwcGxVYU0yUFZJUmVndTZWLTR3aDhqSnpVVEdrYmM1UlcyQ0VrYWhQMUJKenZxOUxSaUdJN0NWLTZGSnk2TjJ2VDQ?oc=5,,92,A,ABSOLUE,True,Activistes / dissidents sous pression,azerbaijan; activist; charges; convicted,Caucase: azerbaijan; activiste / défenseur des droits ciblé; activiste/HRD + action répressive; CAS HR CRITIQUE,12,20,10,0,7,0,azerbaidjan,sujet_principal,"defenseur, opposant",condamnation,True,navigation,3526,True,True,pertinent
2010-09-15T07:00:00+00:00,Human Rights Watch — russe,Droits humains & presse,Киргизия: правозащитник Азимжан Аскаров осужден на пожизненное заключение,https://news.google.com/rss/articles/CBMiWEFVX3lxTE1zbUdzTEVGOGNnQWFkVmFWLTQ2NGlLbmlwV1ZvazZtbFJJRjdPdmMzZk1nVE9kWGo0V09tXzV5V2FERVN2Y0NmdnlienhnR05JMEU2NHZ3d1M?oc=5,,92,A,ABSOLUE,True,Activistes / dissidents sous pression,киргизия; киргиз; правозащитник; осужден,"Asie centrale: киргизия, киргиз; activiste / défenseur des droits ciblé; activiste/HRD + action répressive; CAS HR CRITIQUE",12,20,10,0,7,0,kirghizistan,sujet_principal,opposant,condamnation,False,navigation,5842,True,True,pertinent
2026-06-12T07:00:00+00:00,Human Rights Watch,Droits humains & presse,Azerbaijan Rearrests Journalist Forcibly Returned from Georgia,https://news.google.com/rss/articles/CBMinwFBVV95cUxQNHFiWi11TDRaUEN5Nk5NaTRVakJ0Nnk3aFlsbERTZFZBcFcwSzZQZlpjWHJtd01JSGVjc0l2UldLalpVZTFSTHE0UmlvdFhna0N1MU5XeGF6eWd6NjZzbWFjaEFpZ2dTSWFuQkE0LUxjVkVOcmY1dmlmWWpfSFo1bmhTWGVVdjNfQVlkeXJXeHlQZFQ1Qmd1VlZSUzhRTFU?oc=5,,55,B,MOYENNE,True,Journalistes sous pression,azerbaijan; georgia; journalist,"Caucase: azerbaijan, georgia; journaliste / média ciblé; journaliste + action répressive; plafond V9: confirmation HR dans le body",12,18,5,0,7,0,"azerbaidjan, georgie",sujet_principal,journaliste,aucun,False,navigation,93,True,True,pertinent
